GeneID,log2 FC,log10 p-value
AL118508.2,1.447347849,-1.368352345
AL121753.1,1.565485126,-2.129524697
AL121845.3,2.78513226,-2.116801577
AL121890.4,1.499458475,-2.160588657
AL121933.2,1.396303707,-2.268833154
AL133215.1,1.629979848,-1.704647067
AL133243.4,1.443272556,-1.396585009
AL133367.1,1.34045836,-1.905620099
AL133371.2,1.510797117,-1.847665045
AL135818.1,2.038701363,-1.318961054
AL137003.1,1.092656248,-1.579895968
AL138895.1,1.581226065,-1.63795686
AL138963.1,2.024290979,-1.848939102
AL157392.3,1.48178085,-3.942455893
AL157871.5,1.878860006,-1.872727711
AL158212.2,1.325692741,-1.632234534
AL160272.1,1.973963231,-1.476320739
AL162377.3,2.465575212,-2.331419665
AL162431.1,1.054226388,-1.543425112
AL353708.3,2.477122576,-2.223888347
AL353759.1,1.691259872,-2.66141434
AL353804.1,1.22487139,-1.999183491
AL354696.2,1.356277529,-2.85862419
AL354718.1,1.545966194,-2.154696438
AL355076.3,1.795787165,-1.731394687
AL355297.3,1.065406996,-1.740615308
AL355816.1,2.191442798,-1.934820637
AL356356.1,1.011206614,-1.545681426
AL357033.3,1.134756989,-1.640129361
AL357079.3,1.619083459,-1.712199548
AL358472.2,1.414859637,-2.907818769
AL359762.3,2.195796281,-2.385784393
AL390066.1,1.226750338,-2.02652434
AL391903.1,1.200903163,-1.34239929
AL442125.1,2.369906255,-1.685082387
AL442128.2,2.430539225,-4.937342968
AL512306.3,1.183091719,-1.55930719
AL513320.1,3.651259336,-2.416515859
AL513534.1,1.145371049,-1.484531597
AL590326.1,1.979384978,-2.876223867
AL592078.1,2.958486496,-4.371906367
AL592295.6,1.146252328,-2.727520578
AL606760.2,1.307726132,-1.905303909
AL627309.5,2.537905434,-1.798685369
AL627309.6,1.802800833,-2.739490788
AL627309.7,1.709757686,-1.984043786
AL683842.1,1.738755523,-2.153344754
AL731563.3,2.088818218,-2.192831508
AL731569.1,1.926805912,-2.052730064
AL731577.2,1.413867163,-1.539223947
AL732372.2,1.946987616,-1.329655012
AL732509.1,1.539507913,-3.011151765
ALOX12P2,1.116308491,-2.022107194
ALOX15,7.345495964,-2.575446562
AMN1,1.30500098,-1.371814202
AMPD3,1.268369542,-3.049758863
AMT,2.015146116,-1.809376801
ANKRD44-IT1,2.116864241,-1.724894759
AOAH-IT1,2.336200508,-2.134843576
AOC2,3.779867759,-1.310365049
AOC3,4.613511011,-1.434862176
AP000346.1,1.005479973,-1.811026545
AP000347.1,1.040882696,-3.042932047
