GeneID;log2 FC;log10 p-value
AC005394,2;-0,943002033;-0,448627944
AC005410,2;-0,109340763;-0,034983516
AC005498,3;-0,892105835;-0,713820092
AC005519,1;0,105846031;-0,222355825
AC005520,2;-0,129370431;-0,062728398
AC005520,3;0,126423363;-0,047831363
AC005520,5;0,206087432;-0,076811719
AC005532,1;-0,018689073;-0,019784397
AC005540,1;0,897282622;-0,860174738
AC005562,1;0,089435788;-0,131571872
AC005670,3;-0,201528285;-0,321469091
AC005674,1;0,209716576;-0,681478236
AC005696,3;0,390289188;-0,224383188
AC005696,4;0,524368677;-0,232565472
AC005726,1;-0,851385505;-1,378386392
AC005730,3;1,143638196;-2,497342586
AC005740,4;0,091858571;-0,086449402
AC005775,1;-1,279209603;-0,630706643
AC005785,1;-1,119044188;-1,691450118
AC005785,2;0,180774683;-0,653321662
AC005786,3;0,42406742;-0,743023817
AC005831,1;0,192243543;-0,833269249
AC005837,1;0,822938935;-0,812139524
AC005837,3;0,406942292;-0,646197192
AC005838,2;0,910165728;-0,709762497
AC005839,1;-0,539209298;-1,972674992
AC005840,2;1,088650793;-1,34950192
AC005840,3;-0,491101686;-0,285822207
AC005840,4;-0,334381434;-0,890923435
AC005899,1;-0,564216232;-0,360762337
AC005899,6;0,893822407;-0,921359061
AC005899,7;-3,019137519;-1,019473917
AC005912,1;0,47963034;-0,833229349
AC005921,3;-0,12392457;-0,106864669
AC005944,1;-1,168834117;-1,655893065
AC005954,1;-0,130580615;-0,224706019
AC005962,1;-0,12925186;-0,052794543
AC006001,1;0,12404464;-0,046811488
AC006001,2;0,134569517;-0,508448087
AC006001,3;-0,084343842;-1,211499384
AC006008,1;-0,149875104;-0,096572597
AC006017,1;0,159748514;-0,145804356
AC006026,3;0,609709163;-0,461940261
AC006027,1;0,563220516;-0,878203355
AC006033,2;-1,03492365;-1,450287185
AC006042,2;-0,361923684;-0,440137234
AC006058,1;-0,259911065;-0,135320021
AC006059,1;-0,373269891;-0,504092709
AC006064,2;0,466881553;-0,581174137
AC006064,4;-0,091015172;-0,067608183
AC006077,2;0,145697903;-0,925105122
AC006111,2;0,372187653;-0,895350424
AC006115,2;-1,674796773;-0,56421314
AC006128,1;-0,71565379;-0,711236469
AC006130,3;0,316938196;-0,387846736
AC006207,1;-0,036489526;-0,056408985
AC006213,2;-0,482932163;-0,407271335
AC006213,7;-2,338839953;-1,516033207
AC006230,1;-0,239413331;-0,595471751
AC006238,1;-0,821564709;-1,274186157
AC006252,1;-0,521801228;-0,314345308
AC006254,1;0,06591306;-0,147406582
AC006299,1;0,893458721;-1,590612479
AC006330,1;-0,216679166;-1,334490626
AC006369,1;0,965964903;-2,023857092
AC006372,2;-0,964210238;-0,31239233
AC006378,1;-1,543815695;-0,942384426
AC006435,2;-1,015546044;-1,304263742
AC006460,1;-0,412672872;-0,745496708
AC006460,2;-1,27905983;-0,630604437
AC006480,2;0,67709914;-0,541290878
AC006486,2;-0,029324445;-0,020073123
AC006504,1;-0,913002836;-0,666240071
AC006504,3;-1,56384743;-0,492153585
AC006504,5;-0,104023275;-0,509773187
AC006511,3;-0,00869751;-0,00464067
AC006511,5;0,633195415;-0,579677145
AC006538,1;-1,37186964;-1,955798175
AC006538,3;0,406219559;-0,641358363
AC006942,1;0,092434163;-0,055851649
AC006946,2;-1,689352697;-0,933473759
AC006946,3;-0,475631323;-0,142820323
AC006978,1;-0,300313105;-1,428236691
AC007000,1;-0,846663491;-1,171711277
AC007032,1;0,874166226;-0,861035935
AC007036,2;0,259549107;-0,285869885
AC007038,1;-0,572977338;-0,591457537
AC007066,1;0,620845421;-0,299920826
AC007066,2;-0,046091887;-0,668476589
AC007114,1;0,577701624;-1,182816602
AC007182,2;0,75795772;-0,513906468
AC007191,1;-0,039072432;-0,279214476
AC007216,3;-0,820947557;-0,489035534
AC007216,4;-1,621688283;-0,821852371
AC007220,1;0,589530195;-0,578573073
AC007224,2;-1,180721911;-0,716358987
AC007238,1;-1,404366022;-1,029220531
AC007240,3;-1,313543489;-0,757747445
AC007262,2;0,555725279;-0,678147991
AC007278,1;0,805971797;-1,351494384
AC007278,2;0,608733;-0,877427191
AC007292,1;-1,468030587;-1,259665368
AC007292,2;-1,27836068;-4,004013357
AC007298,2;0,213696511;-0,425781404
AC007336,1;-0,182028607;-0,206637714
AC007342,3;0,009020641;-0,013839341
AC007342,4;0,908999458;-0,628546548
AC007342,5;1,002275917;-1,002777011
AC007342,6;-2,458671392;-0,499841285
AC007342,7;-0,197360282;-0,306328519
AC007342,8;0,940708056;-0,960150569
AC007342,9;0,361294536;-0,294022881
AC007378,1;2,152043482;-1,511693524
AC007384,1;-1,747514272;-2,181552583
AC007390,1;1,128309444;-1,513069327
AC007406,4;0,007922716;-0,016707153
AC007448,4;-0,675858973;-1,169675679
AC007485,2;0,343954401;-0,982303766
AC007541,1;-0,596414969;-0,623660374
AC007546,1;-0,027603273;-0,025002616
AC007546,3;0,278699001;-0,407076194
AC007566,1;-0,292574199;-0,503812297
AC007569,1;-0,195636797;-0,113194366
AC007570,1;-0,243885194;-0,103369637
AC007598,3;0,57193582;-0,560051099
AC007608,3;-0,33449842;-0,105724652
AC007610,4;-0,201588701;-0,127438599
AC007611,1;-0,925674153;-0,775701213
AC007613,1;-0,193492974;-0,076506733
AC007620,2;-0,056958621;-0,087750377
AC007637,1;-0,843506873;-1,059539758
AC007663,1;2,709007141;-1,912757017
AC007663,3;-0,24204228;-0,10263319
AC007663,4;-0,592991442;-0,666268457
AC007666,1;0,366782331;-0,27713442
AC007686,3;0,005470292;-0,015678264
AC007688,2;-2,177859552;-1,268801673
AC007728,2;0,764692277;-1,741432622
AC007728,3;1,205354134;-1,176002913
AC007773,1;2,543048859;-1,907302975
AC007780,1;-0,065309361;-0,292344385
AC007785,3;-0,35113951;-0,518127601
AC007877,1;-0,422197734;-0,319769174
AC007878,1;0,279290614;-0,944576705
AC007879,3;-1,303699231;-1,240927143
AC007879,4;-1,452043785;-0,544217734
AC007922,1;0,818102691;-0,768235918
AC007950,2;0,710295129;-1,209485783
AC007993,3;1,049925225;-0,770499288
AC007996,1;-1,475500615;-1,177374436
AC008014,1;-0,445905836;-0,547439109
AC008026,1;-0,130691289;-0,147710745
AC008026,3;1,124837112;-2,528128013
AC008033,3;0,954683237;-2,901062515
AC008035,1;-2,277936031;-1,121077874
AC008038,1;0,109929974;-0,171021477
AC008074,2;0,166257668;-0,287614416
AC008079,1;1,76532521;-1,982955508
AC008083,3;-1,011518539;-0,686810893
AC008083,4;1,219850227;-0,873981768
AC008105,1;-0,368641869;-1,427026523
AC008105,2;0,182864057;-0,612534971
AC008115,3;0,064271972;-0,138409956
AC008115,4;-1,313250971;-0,974522612
AC008119,1;-0,312519419;-0,245341041
AC008124,1;-0,279801809;-0,424717176
AC008269,1;0,094636874;-0,095827685
AC008280,2;0,576926865;-0,917726962
AC008403,3;0,91615752;-0,914360935
AC008429,4;-0,243885194;-0,103369637
AC008438,1;-0,242908364;-0,309454435
AC008443,3;-0,149383583;-0,103723339
AC008443,4;-0,054923991;-0,059576157
AC008443,7;-0,109677684;-0,057852454
AC008467,1;0,255179239;-0,462553306
AC008494,3;-0,327312239;-0,15443787
AC008498,1;-1,111865754;-0,297460574
AC008507,1;-0,593339515;-1,953814238
