GeneID;log2 FC;log10 p-value
AC005674.1;0,652085062;-1,569636422
AC005696.3;1,99847616;-0,569121232
AC005696.4;-1,842103269;-1,239083101
AC005726.1;-0,011318146;-0,011986217
AC005730.3;0,846991715;-1,486363664
AC005740.4;0,982726537;-0,739227648
AC005775.1;-1,100643516;-0,937621276
AC005785.1;-0,59132282;-0,478841943
AC005785.2;0,265168858;-0,343626455
AC005786.3;0,790867578;-0,916849133
AC005831.1;0,003114408;-0,002470062
AC005837.1;1,005311532;-0,506102961
AC005837.3;-1,614962596;-1,043630851
AC005838.2;0,880492906;-0,366247589
AC005839.1;0,491883063;-0,637267153
AC005840.2;2,165535363;-1,086875565
AC005840.3;-1,172276499;-0,623360995
AC005840.4;1,041192233;-1,895296104
AC005899.1;1,203683139;-0,645771914
AC005899.6;-0,771668291;-0,815333723
AC005899.7;0,569553687;-0,417993525
AC005912.1;-2,040918638;-1,675886243
AC005921.3;0,305180341;-0,2193777
AC005944.1;-1,215265826;-1,013247177
AC005954.1;1,283432103;-1,573592875
AC005962.1;-0,939492167;-0,574068508
AC006001.1;-0,003086488;-0,000991086
AC006001.2;0,39279602;-0,65081971
AC006001.3;0,244317745;-1,43793911
AC006008.1;1,112417175;-0,591906014
AC006017.1;0,661481897;-0,500534127
AC006026.3;0,363711565;-0,157704013
AC006027.1;0,181291513;-0,160544326
AC006033.2;2,245281362;-2,174402815
AC006042.2;-1,19879127;-2,336502655
AC006058.1;-0,241703797;-0,116126521
AC006059.1;0,419090779;-0,453042307
AC006064.2;0,991091314;-0,762770881
AC006064.4;-1,602755972;-1,38610663
AC006077.2;-1,616029136;-1,375499577
AC006111.2;0,244955061;-0,218816959
AC006115.2;1,348817813;-0,501986012
AC006128.1;-1,358210476;-0,938081529
AC006130.3;-0,590399305;-0,582233153
AC006207.1;0,968542846;-0,971201448
AC006213.2;1,048156446;-0,743281101
AC006213.7;1,044879195;-0,73217283
AC006230.1;0,202739147;-0,341793338
AC006238.1;-0,422696458;-0,791937376
AC006252.1;0,49924626;-0,284488101
AC006254.1;0,008637563;-0,013386542
AC006299.1;-0,506626837;-0,287406147
AC006330.1;2,191743727;-5,335730776
AC006369.1;0,087399913;-0,077528121
AC006372.2;0,272976575;-0,087419481
AC006378.1;0,389851085;-0,309686302
AC006435.2;1,221200257;-1,765111869
AC006460.1;0,043389816;-0,030920594
AC006460.2;-0,988465777;-0,729068478
AC006480.2;0,493383821;-0,233753747
AC006486.2;-0,473753089;-0,308567783
AC006504.1;-0,946449639;-1,031926694
AC006504.3;0,836993151;-0,312417384
AC006504.5;1,094360193;-2,224709085
AC006511.3;0,346249129;-0,178132159
AC006511.5;0,517427074;-0,288316155
AC006538.1;2,700355451;-3,157072937
AC006538.3;-0,007303341;-0,00369104
AC006942.1;2,151868294;-0,755736404
AC006946.2;0,956186947;-0,583419631
AC006946.3;-0,744422477;-0,348078221
AC006978.1;-1,518375334;-1,577586877
AC007000.1;-0,232082646;-0,255527673
AC007032.1;-1,040478984;-0,395243944
AC007036.2;0,727208094;-0,530044282
AC007038.1;0,455892029;-0,417516264
AC007066.1;-1,612369409;-1,059400368
AC007066.2;0,742963443;-2,502504174
AC007114.1;-0,350163719;-0,245918041
AC007182.2;-1,954890157;-0,884084069
AC007191.1;1,3965375;-2,008206867
AC007216.3;-0,790130229;-0,583609371
AC007216.4;1,41140404;-0,807409222
AC007220.1;-0,821718374;-0,897831651
AC007224.2;1,077019386;-0,684434303
AC007238.1;-0,131498853;-0,125332279
AC007240.3;0,402718024;-0,244048108
AC007262.2;-0,14438482;-0,109886827
AC007278.1;0,189160067;-0,138332178
AC007278.2;0,27367937;-0,153895838
AC007292.1;1,080293488;-1,284432736
AC007292.2;1,324490376;-2,220164424
AC007298.2;4,638714732;-1,698437895
AC007336.1;0,287893209;-0,28859791
AC007342.3;3,017182303;-1,622513401
AC007342.4;3,478814484;-0,650589684
AC007342.5;2,487615557;-0,866294099
AC007342.6;1,575485057;-0,403648045
AC007342.7;2,804403962;-1,762398872
AC007342.8;3,128393953;-0,934226643
AC007342.9;2,073820604;-0,797088966
AC007378.1;-0,930566767;-0,477583944
AC007384.1;0,197027737;-0,257720345
AC007390.1;0,102039068;-0,073718011
AC007406.4;1,083323128;-1,875259618
AC007448.4;-0,386424281;-0,347486582
AC007485.2;0,822314352;-1,532090017
AC007541.1;1,197412725;-1,011190459
AC007546.1;0,184477525;-0,165602878
AC007546.3;2,496791271;-1,414589988
AC007566.1;0,362501078;-0,588047537
AC007569.1;1,698077655;-0,6857219
AC007570.1;-0,637763149;-0,394868117
AC007598.3;0,654916249;-0,394642705
AC007608.3;0,131774498;-0,038619255
AC007610.4;-0,19873676;-0,088293782
AC007611.1;0,648964811;-0,612701288
AC007613.1;0,383429992;-0,142235115
AC007620.2;0,537052004;-0,673996304
AC007637.1;1,086141685;-1,419943695
AC007663.1;-1,703252524;-0,844457444
AC007663.3;0,20798844;-0,083328808
AC007663.4;1,540029026;-1,284968218
AC007666.1;1,866336497;-0,72254746
AC007686.3;0,487266179;-1,413541101
AC007688.2;-0,632763084;-0,791313228
AC007728.2;0,547639144;-1,119040709
AC007728.3;0,254974587;-0,140888265
AC007773.1;-1,153819618;-0,858391896
AC007780.1;0,995966559;-2,940715479
AC007785.3;1,439423925;-1,43592279
AC007877.1;2,633316679;-0,987514047
AC007878.1;0,581977046;-0,629632991
AC007879.3;1,503215786;-1,54832806
AC007879.4;2,467612193;-0,695138328
AC007922.1;1,388935484;-0,650400997
AC007950.2;0,865428005;-0,771526041
AC007993.3;-0,605733962;-0,349827734
AC007996.1;0,666962237;-0,793122662
AC008014.1;0,438183859;-0,396756486
