GeneID,log2 FC,log10 p-value
IGLV3-16,1.600942129,-1.467109716
IGLV3-25,1.634128268,-3.131381909
IGLV3-27,2.461427408,-2.298480358
IGLV5-45,1.88131308,-2.522791312
IGLV6-57,2.184808757,-2.382570951
IGLV7-46,1.432671224,-1.903080085
IGLV8-61,1.347017366,-2.626133657
IL10,2.722568665,-2.034667385
IL6,1.736965594,-1.860309211
ILDR1,1.157438035,-2.173452859
INHBA,2.271565263,-2.247643594
IRF7,1.45599188,-1.662210658
ISG15,3.080301818,-3.190891189
ISM1,1.327713024,-1.98055952
ITGB8,1.574484803,-1.34690956
JCHAIN,1.737740583,-2.439607625
JPH4,1.209021754,-1.444566121
KCNMA1,3.019497962,-2.150713518
KIF4A,1.403264491,-1.749634918
KPTN,1.043708015,-3.266641399
KRT81,2.048420851,-1.598294319
LAMP3,2.429448076,-2.45560732
LDLRAD2,1.238167283,-1.876320809
LIF,2.079058131,-1.998687573
LINC00189,2.214894495,-2.82603152
LINC00471,1.31931975,-1.626862371
LINC01031,2.342920221,-1.819364506
LINC01132,2.341077306,-1.817730774
LINC01252,1.084221651,-1.682828536
LINC01393,2.219850227,-1.672803031
LINC01664,1.242245577,-1.683636468
LINC02100,1.970005073,-1.941485816
LINC02605,2.221120764,-1.673178568
LINC02773,2.932036244,-4.025197007
LKAAEAR1,1.991904793,-2.400135627
LPAR3,2.495558066,-1.653513129
LRGUK,1.528588716,-2.416927338
LST1,1.556727555,-1.81399583
LZTS1,2.313157885,-2.642840425
M1AP,1.317810433,-2.28345737
MAMLD1,1.37182791,-1.954966499
MCF2L2,1.099355554,-1.737075331
MCOLN3,1.645033773,-1.509094413
MED12L,1.013957023,-1.346140119
MELK,1.540039743,-1.394594355
MERTK,1.186799476,-1.316786743
MGP,1.094636874,-1.387147768
MICA,1.105709564,-1.502143486
MIR6731,2.341077306,-1.817625354
MIR7111,1.806083265,-1.355887394
MIR765,2.009408676,-2.049309261
MIR8075,1.806083265,-1.355887394
MS4A2,1.372116468,-1.374764393
MT-TD,2.520505558,-2.078319161
MT1E,1.842886284,-1.793003868
MT2A,1.585096673,-2.498931594
MTATP6P11,1.008823404,-1.527889385
MTCO3P11,1.522014365,-2.860675748
MTND6P4,2.20469042,-1.729297965
MUC16,2.670497221,-2.465516568
MUC20P1,1.856174693,-1.680226078
MX1,3.064596048,-2.908207812
MX2,1.292923197,-1.745731696
MYLPF,1.971073604,-1.549141927
MYO10,1.557653792,-1.721002749
MZB1,1.318371141,-2.133789393
NCAPG,1.166053728,-1.494444164
NECTIN2,1.025209009,-1.623365893
NECTIN3,2.216522035,-2.637761349
NEFL,1.92856233,-1.860209722
NEXN,1.072526712,-1.953598047
NOC2LP2,1.292069483,-1.355415116
NPIPB1P,1.756114806,-1.36999478
NR4A1,1.202618422,-1.303252889
NRIR,2.908875604,-3.310155413
NT5C3AP2,1.028742403,-1.837733243
NTAN1P2,1.672520769,-1.426633414
NUS1P1,1.251694557,-1.421082972
NUTM2HP,1.513690679,-1.663622865
OAS1,2.474892397,-2.595879256
OAS2,2.025535092,-3.62245883
OAS3,3.440349774,-3.77082017
OASL,2.782701847,-2.786555423
ODF3B,1.442480793,-1.661673439
OLFM4,2.138456426,-1.802434855
OLR1,1.518712724,-2.141149239
OR2A1-AS1,2.000236297,-2.175642538
OR7E140P,1.295783844,-1.713383698
ORM1,1.731231711,-1.30197048
PARP12,1.203626217,-2.91142838
PARP14,1.327892118,-3.376961459
PARP9,1.311492642,-2.067333067
PCDHGA6,1.202790735,-2.401761412
PCDHGB6,2.584367779,-3.783073596
PCOLCE2,2.842895742,-2.064761806
PDCD1LG2,2.529565863,-2.278353174
PEX11G,1.853068993,-2.550663238
PFKP-DT,1.785887729,-1.760693023
PHKA1,2.541778322,-1.906971871
PI4KAP1,1.522780245,-1.406068934
PILRB,1.152413512,-3.164056101
PLA2G4B,1.189683932,-1.924393942
PLAAT2,2.635948881,-2.142563736
PLEKHH2,2.184653847,-1.932895646
PLS3,1.024055784,-1.731611756
PLSCR1,1.463354539,-1.977289211
PNPT1,1.040982044,-2.48751613
PPIAL4H,1.728870387,-2.18307168
PPIAP4,1.25134838,-2.582045497
PPIAP45,4.415956674,-3.033918718
PPP1R2B,1.406942292,-1.894061729
PRELID1P6,1.493694443,-1.780860061
PRLR,1.07633967,-2.062429405
PTGR2,1.488621811,-1.450084259
PTPN13,1.49395115,-2.256066488
PTPRH,1.75795772,-1.371843649
PTX3,1.660768526,-2.637877787
PXDNL,1.657324028,-1.465745401
RAB1AP1,1.541341498,-1.848827554
RAB20,1.01749848,-1.386920668
RAB39A,1.473207136,-2.015202458
RAPGEF3,2.499018159,-2.13608447
RASSF6,2.681935894,-2.68529187
RBFOX1,2.152043482,-1.511693524
RFPL2,1.847816741,-1.778855192
RHOT1P2,1.679866393,-1.569248744
RNASE1,1.198662703,-2.212432841
RNASE4,1.34169135,-1.892819241
RNF207,1.181945974,-2.443819138
RNF213,1.231581593,-3.015725085
RNF222,1.04331768,-1.923020514
RNU6-226P,1.600942129,-1.467109716
RNU6-5P,1.119764876,-1.607090764
RNU6-8,1.208959283,-1.367555659
RNU7-40P,1.414729095,-2.095197057
ROBO4,3.0780429,-2.335821636
ROCK1P1,2.124837112,-3.435179152
RPL12P12,1.124837112,-2.528128013
RPL19P4,1.124837112,-2.528128013
RPL21P75,1.262955095,-1.505360146
RPL23AP2,2.341077306,-1.817625354
RPL23AP69,2.342920221,-1.819260084
RPL23AP74,1.378729758,-2.120454117
RPL35P5,1.079201284,-2.376410524
RPL37P2,1.792030679,-1.591555619
RPL37P23,1.830463821,-1.340272383
RPL4P3,2.153065766,-1.511689279
RPS12P4,1.806083265,-1.355887394
RPS15AP38,2.126423363,-1.494195109
RPS24P19,1.045159795,-1.508509441
RPS27AP12,1.342152054,-1.892996499
RPS29P16,1.756728849,-2.010979398
RPS4XP1,1.27185781,-1.809180872
RPS4XP16,1.145527516,-1.490921263
RPS4XP6,2.124898982,-3.438817633
RPSAP58,2.719637411,-3.22687154
RPSAP9,1.709205218,-1.729280622
RSAD2,4.484084247,-4.565910501
RSPH9,2.499517657,-2.187945073
RTL5,1.562854653,-2.742607836
RTN4RL1,1.701548875,-1.387704698
RTP4,1.876861966,-2.492984758
RUFY4,1.050442082,-1.318947045
RUNDC3A-AS1,3.927761553,-2.895946072
SAMD4A,1.250021515,-1.78672852
SAMD9,1.266354764,-3.157813053
SAMD9L,1.777607579,-2.933028335
SAPCD2,1.374271131,-1.404183809
SCGB3A1,4.342829346,-3.16071065
SCUBE1,2.858162767,-1.90595617
SCUBE2,1.633512803,-1.506119987
SELENOP,1.271565263,-1.405173
SEPTIN4,1.087854698,-1.89580684
SETP17,1.804812727,-1.35543365
SIGLEC1,3.48326229,-3.592417655
SIGLEC20P,1.507071596,-1.369043881
SLC12A8,2.058947545,-2.470736885
SLC1A3,1.203373176,-1.966025137
SLC22A13,1.970539239,-1.942286285
SLC22A16,1.807177046,-3.270265132
SLC25A27,1.435828798,-1.604766562
SLC25A41,1.493694443,-1.780860061
SMIM43,1.687480581,-1.785526822
SNHG21,1.259154636,-2.418115365
SNHG25,1.154663985,-1.601996352
SNORA31,1.446170812,-1.499527904
SNORA66,1.514728963,-1.667323801
SNORD19,2.693388507,-1.820969145
SNORD37,1.756114806,-1.36999478
SNRPEP4,1.25134838,-2.582045497
SPATS2L,2.020255768,-3.569927043
SPCS2P4,1.209822339,-1.365317429
SPDYE18,1.245586786,-1.927179491
SPIRE1,1.22074745,-1.514469244
SPOUT1,1.037735221,-1.648342769
SPSB1,1.101706394,-2.034443783
ST13P6,1.687480581,-1.785526822
ST6GALNAC1,1.280217612,-1.788473438
STAT2,1.130184164,-3.025421752
STRIP2,1.40476533,-2.36208914
SYCE2,1.99118206,-2.394298693
TAS2R5,1.317666754,-2.463555458
TCEAL9,1.124601714,-1.710621968
TDRD7,1.034959443,-2.823614705
THSD7A,1.124837112,-2.528128013
TIMM10,1.056839511,-2.279966784
TINCR,1.172047013,-1.730099402
TMEM139,1.687636991,-1.348629657
TMEM191C,1.354754273,-2.543650101
TMEM225B,1.709799613,-3.094880715
TMEM269,1.740929378,-2.443974232
TMPRSS3,1.742659474,-3.831876371
TMTC1,2.281985084,-1.901558454
TNFAIP6,1.866675313,-2.735505872
TNFRSF17,1.891397172,-3.48107828
TNFRSF19,2.406805977,-2.718586322
TNFSF10,1.19625511,-1.989099089
TNFSF13B,1.159560247,-2.061211792
TNFSF15,1.746639638,-2.342279042
TPX2,1.293451185,-1.983352969
TRAJ17,2.079315815,-2.082108164
TRAJ20,1.233324343,-1.584186077
TRAJ27,1.866515765,-2.297991559
TRAJ32,1.991904793,-2.400135627
TRAJ45,1.825093862,-2.367322176
TRAJ7,1.271982839,-1.465411892
TRBV5-1,1.756114806,-1.36999478
TRBV5-5,1.653523651,-1.695209994
TRIM22,1.188761643,-2.70378067
TRIM5,1.086520558,-1.850782127
TRIM6,2.441319274,-1.63169161
TRIM7,1.060373598,-2.177212327
TRPM4,1.556905325,-3.530671759
TSBP1-AS1,1.34169135,-1.892819241
TSHR,1.406942292,-1.894061729
TTC39C-AS1,1.935631291,-1.597810418
TXNDC5,1.535502638,-1.937617405
TYMP,1.006189936,-1.693078932
U62317.3,1.436584203,-1.881882978
U91328.3,1.292069483,-1.355415116
UCKL1-AS1,1.052122678,-1.735231726
ULBP3,1.977889461,-1.497113969
UNC5B,2.006382273,-1.577697798
USP18,2.356447952,-2.932985309
USP32P2,1.71033917,-2.057979298
USP50,2.711385864,-1.91508924
UTS2B,2.318116275,-1.491377536
VAMP5,1.015296982,-1.892921697
VDAC1P8,1.03106569,-1.347860526
VNN1,1.077050866,-2.558377661
WDR17,1.444895325,-1.63788173
WNT11,1.25134838,-2.582045497
WWC1,2.070251585,-2.027634025
WWC2,1.212331245,-2.373404108
WWTR1,3.124700796,-4.157397132
XAF1,2.183395641,-3.451519274
YY2,1.757360455,-1.822671504
ZBP1,1.296307197,-2.061311
ZBTB32,1.231238623,-1.734122297
ZCCHC2,1.817544218,-2.819868799
ZMYND15,1.267859932,-1.753791941
ZNF385C,1.377784746,-1.402219917
ZNF462,1.561850562,-1.676715486
ZNF66,1.223151248,-1.785561117
ZNRD1ASP,3.130166553,-2.142277521
ZYG11A,2.221120764,-1.673178568
ABHD1,-1.178180847,-2.38685464
AC004938.2,-1.766218802,-1.386942448
AC005034.5,-2.295886623,-1.73305575
AC005076.1,-1.251767748,-1.315386835
AC005082.1,-1.278509885,-1.312657476
AC005785.1,-1.119044188,-1.691450118
AC005944.1,-1.168834117,-1.655893065
AC006033.2,-1.03492365,-1.450287185
AC006213.7,-2.338839953,-1.516033207
AC006435.2,-1.015546044,-1.304263742
AC006538.1,-1.37186964,-1.955798175
AC007292.2,-1.27836068,-4.004013357
AC007384.1,-1.747514272,-2.181552583
AC008750.1,-1.221020821,-1.521982041
AC008750.6,-3.886242659,-1.516969982
AC009093.7,-1.042425059,-1.476641312
AC009120.5,-1.355484833,-2.237399146
AC009226.1,-1.46225856,-1.574507729
AC010422.4,-1.49832485,-1.37863527
AC012184.4,-1.178341468,-1.818670068
AC012313.4,-1.9758079,-1.458989161
AC013468.1,-2.278385656,-4.268217828
AC015802.4,-1.589590017,-1.40434062
AC016739.1,-1.786000957,-1.604438033
AC016876.1,-1.182038575,-1.379976229
AC016888.1,-2.197090983,-1.51814218
AC018445.5,-3.376111987,-1.506787712
AC018529.3,-1.325247976,-1.36310226
AC018755.3,-2.785326219,-1.549691941
AC019226.1,-2.295664539,-1.739862011
AC020978.6,-1.316173478,-1.403532436
AC021188.1,-1.902060207,-1.973763242
AC021752.1,-1.6209794,-1.376847009
AC022364.1,-3.308709353,-1.862266393
AC022558.3,-1.6209794,-1.376847009
AC022916.3,-1.278610415,-1.427167022
AC023024.1,-2.159100937,-1.311485613
AC023355.1,-1.51160512,-2.118955529
AC025265.1,-2.215443424,-1.369676668
AC027702.1,-1.459993268,-1.998437103
AC046134.2,-1.245133798,-2.131765436
AC068669.1,-1.090773221,-1.726847383
AC068880.4,-1.621452027,-1.370866216
AC069213.1,-2.428671929,-1.88646074
AC073343.2,-2.372150511,-2.174514116
