GeneID;PAT3 - female;CTRL3 -female;log2 FC;;;
IL1R1;514619;71144;2,854690727;;;
AC008764.6;62178;8606;2,852989467;;;
LINC01679;33073;4590;2,849087857;;;
LINC02363;33073;4590;2,849087857;;;
LUNAR1;33073;4590;2,849087857;;;
IFITM3;7840000;1090000;2,846525519;;;
ABCA1;1050000;146878;2,837699104;;;
AL021707.1;89959;12622;2,833327095;;;
IFITM2;24200000;3410000;2,827163403;;;
UPB1;72761;10327;2,81674416;;;
OR52K3P;785819;111880;2,812244892;;;
ADGRE3;2160000;311542;2,793532736;;;
AC026471.3;7938;1147;2,790910171;;;
AC068587.4;7938;1147;2,790910171;;;
AC092471.1;7938;1147;2,790910171;;;
AC109454.2;7938;1147;2,790910171;;;
AC138356.2;7938;1147;2,790910171;;;
AC138827.2;7938;1147;2,790910171;;;
AL031658.1;7938;1147;2,790910171;;;
AL359510.2;7938;1147;2,790910171;;;
CAPNS2;7938;1147;2,790910171;;;
CD8B2;7938;1147;2,790910171;;;
EFNB2;7938;1147;2,790910171;;;
FAM172BP;7938;1147;2,790910171;;;
FO393400.1;7938;1147;2,790910171;;;
HSF2BP;7938;1147;2,790910171;;;
LINC01816;7938;1147;2,790910171;;;
NKAPL;7938;1147;2,790910171;;;
NUTM2HP;7938;1147;2,790910171;;;
RN7SKP296;7938;1147;2,790910171;;;
SNORD14E;7938;1147;2,790910171;;;
USP50;7938;1147;2,790910171;;;
AL078604.2;23813;3442;2,790430383;;;
AL356356.1;11906;1721;2,790369797;;;
RN7SL381P;11906;1721;2,790369797;;;
TSSK3;11906;1721;2,790369797;;;
BATF2;301627;43604;2,790233185;;;
AC006017.1;15875;2295;2,790190533;;;
AL359885.1;15875;2295;2,790190533;;;
LINC01765;31750;4590;2,790190533;;;
RPS15AP10;15875;2295;2,790190533;;;
BEAN1-AS1;35719;5164;2,790130785;;;
SCARNA9;35719;5164;2,790130785;;;
SOCS5P4;19844;2869;2,790082989;;;
AC073912.2;3969;574;2,78965292;;;
AP000759.1;3969;574;2,78965292;;;
AP001160.4;3969;574;2,78965292;;;
ATE1-AS1;3969;574;2,78965292;;;
CEMP1;3969;574;2,78965292;;;
CLIC1P1;3969;574;2,78965292;;;
CORIN;3969;574;2,78965292;;;
HLA-DRB3;3969;574;2,78965292;;;
LINC00271;3969;574;2,78965292;;;
MIR6731;3969;574;2,78965292;;;
NPB;3969;574;2,78965292;;;
SCARNA20;3969;574;2,78965292;;;
SETP17;3969;574;2,78965292;;;
SNORA77;3969;574;2,78965292;;;
WFDC3;3969;574;2,78965292;;;
