GeneID;log2 FC;Grupo
AC068790.3;2,527875765;Sangue
AC134407.2;2,527875765;Sangue
AC243967.2;2,527875765;Sangue
AL049836.1;2,527875765;Sangue
AL109923.1;2,527875765;Sangue
AL627171.1;2,527875765;Sangue
AMZ1;2,527875765;Sangue
APOA1;2,527875765;Sangue
CDH5;2,527875765;Sangue
CENPS;2,527875765;Sangue
CLEC20A;2,527875765;Sangue
E2F7;2,527875765;Sangue
HMGB3P4;2,527875765;Sangue
HPD;2,527875765;Sangue
KREMEN2;2,527875765;Sangue
LIX1L-AS1;2,527875765;Sangue
NID2;2,527875765;Sangue
NUS1P1;2,527875765;Sangue
PA2G4P4;2,527875765;Sangue
POLR2KP1;2,527875765;Sangue
PPIAL4H;2,527875765;Sangue
RNF222;2,527875765;Sangue
SIRPAP1;2,527875765;Sangue
U91328.3;2,527875765;Sangue
WBP1LP2;2,527875765;Sangue
ZCWPW2;2,527875765;Sangue
AC016583.1;2,52738386;Sangue
AC022217.3;2,52738386;Sangue
PGAM2;2,52738386;Sangue
PTP4A3;2,527285493;Sangue
ROPN1L;2,527198474;Sangue
OR2A1-AS1;2,527192478;Sangue
TMEM191B;2,527165215;Sangue
AC010531.6;2,527137951;Sangue
AC015971.1;2,527137951;Sangue
AC020763.4;2,527137951;Sangue
AC099811.5;2,527137951;Sangue
ADORA1;2,527137951;Sangue
HMGB1P3;2,527137951;Sangue
NTAN1P2;2,527137951;Sangue
RPL4P6;2,527137951;Sangue
VNN1;2,519439684;Sangue
CREB5;2,51313777;Sangue
AC009495.3;2,511943726;Sangue
AC131009.4;2,511943726;Sangue
FHDC1;2,510132575;Sangue
IGLV3-1;2,509462585;Sangue
FRAT2;2,50663414;Sangue
AL117379.1;2,498011636;Sangue
AL355490.1;2,494656542;Sangue
MYBPC3;2,491568677;Sangue
UBE2C;2,490637242;Sangue
AVIL;2,489468175;Sangue
PPP1R14BP3;2,485452487;Sangue
PROC;2,485452487;Sangue
Z94721.1;2,485452487;Sangue
AC015871.8;2,485311363;Sangue
AC027682.7;2,478262195;Sangue
DOCK4;2,474440452;Sangue
LINC02649;2,474440452;Sangue
LRRC4;2,472232173;Sangue
AL078622.1;2,468262438;Sangue
KCNJ2-AS1;2,461652429;Sangue
SLC22A4;2,458240532;Sangue
SLPI;2,455805025;Sangue
ANKRD44-IT1;2,453160329;Sangue
TAFA2;2,451688018;Sangue
ALPK3;2,442381821;Sangue
AL021707.3;2,442275491;Sangue
CFAP45;2,437910058;Sangue
AC007342.8;2,435593376;Sangue
CSF2RB;2,430538593;Sangue
AC113410.4;2,427842993;Sangue
RAP1GAP;2,427842993;Sangue
AC012254.1;2,427765096;Sangue
AL139288.1;2,427765096;Sangue
AC007877.1;2,427675345;Sangue
AC009093.6;2,427633436;Sangue
SPCS2P4;2,427537625;Sangue
C5AR2;2,426968882;Sangue
