ensembl_gene_id,Log2 RPKM mean_Female,Log2 RPKM mean_Male
ENSG00000131831,"0,557131903903687",
ENSG00000236187,"0,559790668402996",
ENSG00000214124,"0,685565311161765",
ENSG00000156313,"0,579342913154994",
ENSG00000212207,"0,563225605034165",
ENSG00000237875,"0,519088896965982",
ENSG00000221994,"0,525983014867947",
ENSG00000226530,"0,501005237875336",
ENSG00000236576,"0,504336117251053",
ENSG00000165591,"0,54992306647211",
ENSG00000207939,"0,550452022248347",
ENSG00000125931,"0,569394370447604",
ENSG00000229807,"3,6449948630314",
ENSG00000207820,"0,567617943658759",
ENSG00000186675,"0,557463733363429",
ENSG00000240896,"0,578908563632307",
ENSG00000212241,"0,539047854850501",
ENSG00000221463,"0,905737874965432",
ENSG00000224593,"0,631766654288662",
ENSG00000242802,"0,52472328211793",
ENSG00000159904,"0,617708154928371",
ENSG00000202273,"1,10942928539756",
ENSG00000201747,"0,567617943658759",
ENSG00000200753,"0,677859106034604",
ENSG00000214870,"0,545556335708846",
ENSG00000211690,"0,595502649713556",
ENSG00000211692,"0,773760709454066",
ENSG00000261019,"0,52184821535043",
ENSG00000106588,"0,591042566350929",
ENSG00000244117,"0,82720184198331",
ENSG00000207344,"0,709794231553937",
ENSG00000227113,"0,562890582399305",
ENSG00000164669,"0,546323472082403",
ENSG00000200874,"0,503331224483409",
ENSG00000237815,"0,760390592844208",
ENSG00000006634,"0,507756162329426",
ENSG00000164647,"0,515776237320283",
ENSG00000105792,"0,590743407050202",
ENSG00000243107,"0,514784109806832",
ENSG00000214309,"0,584675227415659",
ENSG00000078487,"0,519438921410714",
ENSG00000087085,"0,678371155993482",
ENSG00000161036,"0,502614022266537",
ENSG00000235354,"0,583085440393118",
ENSG00000207692,"0,69117995786391",
ENSG00000105948,"0,589079343012509",
ENSG00000261624,"0,667183196835404",
ENSG00000127366,"0,500520397719967",
ENSG00000251936,"0,680042816698364",
ENSG00000252310,"0,517248210245501",
ENSG00000055118,"0,51566770648233",
ENSG00000261455,"0,539863581177326",
ENSG00000207637,"1,04584911040467",
ENSG00000146918,"0,54143827001468",
ENSG00000106018,"0,577922991714698",
ENSG00000228463,"0,543187301582248",
ENSG00000229344,"0,523131773881245",
ENSG00000116151,"0,505781318249958",
ENSG00000238240,"0,664005728507887",
ENSG00000131697,"0,56174926269209",
ENSG00000226944,"0,514082389848834",
ENSG00000158286,"0,50623200837496",
ENSG00000207865,"0,550452022248347",
ENSG00000116771,"0,518681939301655",
ENSG00000238818,"0,743804521681109",
ENSG00000058453,"0,5559138852404",
ENSG00000207005,"0,744247419896835",
ENSG00000200403,"0,77934685198664",
ENSG00000183114,"0,614718693619389",
ENSG00000001460,"0,513119645398391",
ENSG00000261349,"0,638438788890902",
ENSG00000181773,"0,541045565699037",
ENSG00000116329,"0,669480796153896",
ENSG00000160051,"0,546521797282963",
ENSG00000121903,"0,53127635668135",
ENSG00000163879,"0,542798008375638",
ENSG00000230610,"0,813143314831582",
ENSG00000201457,"0,527674942707834",
ENSG00000207508,"0,844745985895794",
ENSG00000200254,"0,71084174035081",
ENSG00000233674,"0,631766654288662",
ENSG00000200913,"0,576614173286523",
ENSG00000132773,"0,539507092328468",
ENSG00000230828,"0,669707322219789",
ENSG00000202140,"0,511804461356246",
ENSG00000228853,"0,594893408099558",
ENSG00000227960,"0,533002955023719",
