ensembl_gene_id,Log2 RPKM mean_Male,Log2 RPKM mean_Female
ENSG00000164649,"0,503334979803842",
ENSG00000136235,"0,773874815033732",
ENSG00000105928,"0,537497802652458",
ENSG00000238906,"0,629714941260121",
ENSG00000207771,"0,520233192862073",
ENSG00000226102,"0,573403561322954",
ENSG00000136250,"0,53380468568946",
ENSG00000188185,"0,595403142626474",
ENSG00000106624,"1,03941221199164",
ENSG00000226278,"0,873333320814265",
ENSG00000196247,"0,584006335258507",
ENSG00000213640,"0,776589337849963",
ENSG00000226824,"0,630158777323745",
ENSG00000232546,"0,56806724537762",
ENSG00000201014,"0,587816066537063",
ENSG00000127951,"1,04144906769327",
ENSG00000214293,"0,50403450306969",
ENSG00000019991,"0,52842795552218",
ENSG00000226254,"0,511308679063335",
ENSG00000157240,"0,59605370103694",
ENSG00000164692,"1,09988011126446",
ENSG00000214389,"0,692300940777504",
ENSG00000221487,"0,572487876707737",
ENSG00000146828,"0,501459829022355",
ENSG00000252643,"0,63359017383855",
ENSG00000128606,"0,514017001167918",
ENSG00000253276,"0,527055897786325",
ENSG00000135272,"0,545314706724089",
ENSG00000105974,"0,580761378898121",
ENSG00000106013,"0,525479790046687",
ENSG00000234224,"0,525650945626332",
ENSG00000205085,"0,527564615568083",
ENSG00000244218,"0,536993801687618",
ENSG00000164707,"0,83468737155259",
ENSG00000207597,"0,541688547247159",
ENSG00000182158,"0,536829517038225",
ENSG00000146858,"0,554705385829749",
ENSG00000106538,"0,654181473435952",
ENSG00000133561,"0,511121184370126",
ENSG00000106565,"0,598348561615439",
ENSG00000187260,"0,514884538698132",
ENSG00000227232,"0,539463163371638",
ENSG00000225630,"0,532413123811152",
ENSG00000188290,"0,574030568546987",
ENSG00000179403,"0,630911082966638",
ENSG00000221083,"0,531010605540467",
ENSG00000241563,"0,758730668429491",
ENSG00000116670,"0,500548529843204",
ENSG00000175206,"0,595210119057475",
ENSG00000199347,"0,830523483421476",
ENSG00000116691,"0,672511856505615",
ENSG00000185519,"0,563066532991226",
ENSG00000162551,"0,994654993301837",
ENSG00000117602,"0,504985669656699",
ENSG00000252947,"0,523906399046811",
ENSG00000116525,"0,5224195492629",
ENSG00000229994,"0,543746454747287",
ENSG00000117010,"0,551140845263418",
ENSG00000164010,"0,568075816483007",
ENSG00000179178,"0,510051820760251",
ENSG00000237950,"0,542971233378009",
ENSG00000132781,"0,533427346590551",
ENSG00000070759,"0,622082618459644",
ENSG00000230896,"0,633301287368225",
ENSG00000224986,"0,503193478247963",
ENSG00000157184,"0,583015121599347",
ENSG00000199135,"0,636768573341877",
ENSG00000116678,"0,641078084745009",
ENSG00000162595,"0,571502754446361",
ENSG00000050628,"0,536659986971955",
ENSG00000137959,"0,645185853530755",
ENSG00000162654,"0,555728403453638",
ENSG00000230735,"0,527419044921128",
ENSG00000162692,"0,641396973368764",
ENSG00000121933,"0,552605801914617",
ENSG00000155363,"0,550274278013269",
ENSG00000224167,"0,536540704421885",
ENSG00000116774,"1,00626047453258",
ENSG00000238439,"0,733765557365759",
ENSG00000239165,"0,605128882383733",
ENSG00000207205,"0,63124686957208",
ENSG00000118298,"0,540649769242309",
ENSG00000118292,"0,83478865268866",
ENSG00000163131,"0,708941779642173",
ENSG00000197747,"0,682902912800257",
ENSG00000163191,"1,28743707547636",
ENSG00000143545,"0,615576080167694",
ENSG00000169242,"0,564734764833535",
ENSG00000169241,"0,502087357589715",
ENSG00000225082,"0,511635221766526",
ENSG00000143320,"0,911858099462457",
ENSG00000163563,"0,581041509678377",
ENSG00000163565,"0,607614280853452",
ENSG00000213088,"0,659454330918683",
ENSG00000158869,"0,973970452690203",
ENSG00000203747,"0,952994263399405",
ENSG00000143171,"0,623016317215447",
ENSG00000221545,"0,561533947811244",
ENSG00000143340,"0,500510421893207",
ENSG00000206753,"0,501139435705747",
ENSG00000073756,"0,515527628895689",
ENSG00000090104,"0,527708458442103",
ENSG00000238754,"0,514670946013305",
ENSG00000000971,"1,03151129604482",
ENSG00000081237,"0,565116597727049",
ENSG00000122176,"0,650702475735416",
ENSG00000188783,"0,546990596424658",
ENSG00000221643,"0,650023787104633",
ENSG00000252731,"0,543446213215756",
ENSG00000174059,"0,601075998266732",
ENSG00000117594,"0,532989862111684",
ENSG00000082512,"0,601670718320717",
ENSG00000201544,"0,780316110772586",
ENSG00000198835,"0,535170570338322",
ENSG00000228058,"0,634513390023814",
ENSG00000222831,"0,875807695803036",
ENSG00000252056,"0,689862395050488",
ENSG00000116962,"0,653095579139609",
ENSG00000251826,"0,661045914257977",
ENSG00000237438,"0,53849894843927",
ENSG00000177663,"0,550429821869708",
ENSG00000100084,"0,509018739122236",
ENSG00000184113,"0,523748079287101",
ENSG00000099937,"0,706447069180254",
ENSG00000222915,"0,527344671167215",
ENSG00000221963,"0,654645253882513",
ENSG00000100139,"0,511511624713794",
ENSG00000077942,"0,751897645908595",
ENSG00000010379,"1,14296988286391",
ENSG00000255746,"0,638917914159935",
ENSG00000053702,"0,503017180375128",
ENSG00000067182,"0,630883965795567",
ENSG00000010610,"0,616291122052133",
ENSG00000111684,"0,530365768217249",
ENSG00000159403,"0,569822955659222",
ENSG00000177575,"0,557140033439654",
ENSG00000171860,"0,618741686264467",
ENSG00000183935,"0,502870932002167",
ENSG00000252445,"0,782082202289389",
ENSG00000111341,"0,774089120481484",
ENSG00000200885,"0,547258149618537",
ENSG00000212549,"0,543352938115043",
ENSG00000239339,"0,615239253456502",
ENSG00000256326,"0,529682232979374",
ENSG00000057294,"0,60133539139832",
ENSG00000110975,"0,519365311118476",
ENSG00000139133,"0,535390453349839",
ENSG00000257261,"0,570971035345633",
ENSG00000139211,"0,653611258418221",
ENSG00000061273,"0,532255493626311",
ENSG00000207313,"0,630550567737439",
ENSG00000200428,"0,526800590459155",
ENSG00000110934,"0,544561321051183",
ENSG00000123338,"0,628489079158081",
ENSG00000252206,"0,576595698358538",
ENSG00000139239,"0,516520676106735",
ENSG00000241412,"0,787192048080326",
ENSG00000196935,"0,520846092302845",
ENSG00000177425,"0,505949212259224",
ENSG00000202470,"0,599858574457084",
ENSG00000139350,"0,523922046393434",
ENSG00000207586,"0,580794337767845",
ENSG00000258033,"0,645981520330267",
ENSG00000222932,"0,523198085420239",
ENSG00000075188,"0,515602021059198",
ENSG00000120820,"0,586694341426965",
ENSG00000136010,"0,559493887218225",
ENSG00000110921,"0,560368658979105",
ENSG00000257053,"0,540767317210007",
ENSG00000139714,"0,517605883049139",
ENSG00000212694,"0,51782554853605",
ENSG00000239082,"0,678623997301278",
ENSG00000240172,"0,56300738935072",
ENSG00000256137,"0,653070585536196",
ENSG00000184967,"0,514286885111966",
ENSG00000252456,"0,507591618951949",
ENSG00000200914,"0,584054311041468",
ENSG00000215067,"0,513098110797589",
ENSG00000129226,"0,999360675774539",
ENSG00000241708,"0,588793900706775",
ENSG00000187688,"0,516176653071524",
ENSG00000200229,"0,754104403248106",
ENSG00000226966,"0,523490041988771",
ENSG00000166482,"0,673315187147019",
ENSG00000142494,"0,560151607648243",
ENSG00000205217,"0,521596668935687",
ENSG00000076604,"0,549486682453833",
ENSG00000167543,"0,615360285967094",
ENSG00000184060,"0,691357452664973",
ENSG00000108691,"0,605798633460303",
ENSG00000132141,"0,608598820221615",
ENSG00000207297,"0,974501045757139",
ENSG00000141744,"0,589450850236539",
ENSG00000141736,"0,590559035691999",
ENSG00000238793,"0,524101260017183",
ENSG00000141756,"0,64475466048284",
ENSG00000168256,"0,52310057411752",
ENSG00000108771,"0,652756434302936",
ENSG00000108784,"0,52442929144461",
ENSG00000198496,"0,537283860057215",
ENSG00000233175,"0,592744642059981",
ENSG00000238083,"0,586773173660432",
ENSG00000185829,"0,814318222337965",
ENSG00000239291,"0,543372183428173",
ENSG00000206734,"0,521159878236779",
ENSG00000206954,"0,562519834302984",
ENSG00000108821,"0,592372432143423",
ENSG00000202077,"0,739287390207419",
